run_id,run_counter,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251022_205014,4924,0.0007194906801698,0.2962056382975677,15.90100817356505,0.6713550611921104,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4999998924387685,2.4945570884392576,1.0,-60.0,-30.046184380559133,67.53071071169698,170333.30587554903,13369.765812752132,65.68520754205818,0.0083588318810363,1.408438999010582,1.9333257183268304,25.0,-50.0,12.0,0.1052652587120869,9.151387922210546,0.0500442952632873,4.5000663122827085,0.4981586135905185,4.462439546303461,0.0358887120557688,1.1603248419663033,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.2,5.0,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251023_002219,5701,0.0006683790562611,0.2964507599398432,18.46991343421625,0.6715375458414451,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4993916910052312,2.4951630442026294,1.0,-60.0,-21.000003880696188,22.71537811724498,198172.0146471621,25133.302669777742,64.22968173540738,0.1199406881117427,1.1591076153818631,0.3969521468651308,50.0,-50.0,12.0,0.1092460843092128,9.69902126102484,0.0500000082558263,4.500066312265151,0.4987415466452816,4.594661589745298,0.045044005775862,1.496838899585312,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251023_040027,4310,0.0007039594098058,0.299361879403071,16.284600325053148,0.6736893808380137,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4993972816585088,2.498901935955143,1.0,-60.0,-21.00156310009593,79.99489876100519,196201.66509503423,25600.968540433885,62.00484715169311,0.1199407882897986,0.2000297590177859,0.4999341383983765,25.0,-50.0,12.0,0.1040572610910426,8.479095505586606,0.0500348303683217,4.500066312598181,0.5036375577303659,4.5189952154265125,0.0359421033174512,0.6238995881199868,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251023_062223,7529,0.0007057123880627,0.2921547215300483,19.33917907400771,0.6683096559211399,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4994331872604824,0.9706660543258516,1.0,-60.0,-34.25420463479564,57.34169747611325,427361.4666547055,1885.315795088732,66.12142738280274,0.1199410125744917,1.333437708532647,2.499718975089636,25.0,-50.0,12.0,0.1306333684493661,22.4998499288627,0.0500000007498913,4.500066313344043,0.4915025117692585,4.405167513505648,0.0467352476387941,1.474617379040697,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.2,5.0,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251023_100141,5458,0.0007171747111251,0.2944491266727265,19.58014210906216,0.670041442344277,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4987334557192279,2.49994079180136,1.0,-60.0,-21.00002314596337,146.08329132074968,292496.16788356466,13880.116885280677,62.049560430389874,0.0083588334921424,0.6100751894563252,0.4999508439144481,25.0,-50.0,12.0,0.0211740235631099,5.006965117322926,0.0500445284798799,4.500066312361349,0.495557798641293,4.697362361405092,0.0388425856497095,0.1000059197319448,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_121629,6440,0.0007156180446643,0.2943538542841347,19.03301224658989,0.6699698919535892,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4987558171389816,2.49999740042345,1.0,-60.0,-35.437553116732104,147.9210996800277,336530.8669571066,1686.8101257014748,62.0530356316669,0.0083588356693721,1.4998839745569266,0.4999706805872953,50.0,-50.0,12.0,0.0227859758505882,4.603410696578223,0.0500444845551822,4.500066312467611,0.4953912103102416,4.580713243313804,0.0393476583787499,0.102437585947327,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_165232,5494,0.0007171747111251,0.2944491266727265,19.58014210906216,0.670041442344277,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4987334557192279,2.49994079180136,1.0,-60.0,-21.00002314596337,146.08329132074968,292496.16788356466,13880.116885280677,62.049560430389874,0.0083588334921424,0.6100751894563252,2.499942320360251,50.0,-50.0,12.0,0.0211740235631099,5.006965117322926,0.0500445284798799,4.500066312361349,0.495557798641293,4.697362361405092,0.0388425856497095,0.1000059197319448,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.1,2.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_184338,4928,0.0007280301788502,0.2969379916853324,17.239971167981217,0.6718996720624948,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4993856674928517,2.499999083998746,1.0,-60.0,-25.461499543511,149.99999991299137,346934.0893782945,16098.343178258569,62.01029479009696,0.0083588562357611,1.3628420181022916,0.2190863248388484,25.0,-50.0,12.0,0.0297021951857298,4.878911833791408,0.0500441225877714,4.500066313471244,0.4995629479575483,4.462366504377715,0.0344720548703693,0.1728674366801959,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.2,5.0,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_210341,5541,0.0007660901190706,0.2930300685586089,17.051980113406906,0.6689724966207454,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.498922531392155,0.6103056808918482,1.0,-60.0,-21.4803513024636,149.99600511791638,297717.43122733466,17317.09599242968,62.03077363865199,0.0083607582102641,1.349572409892256,0.3054667111167398,50.0,-50.0,12.0,0.0370430056885827,5.146282970564893,0.0500000000001887,4.50006631226574,0.4931169682095605,4.746666432609452,0.0341278468587799,0.1843729351965506,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.2,5.0,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251023_214727,5188,0.0006649957268174,0.2990551325000877,18.45231569003452,0.6734639701524644,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4999999893255494,1.315217853631688,1.0,-60.0,-32.73317051113479,52.346573663525405,477299.1800905812,5303.754979008371,76.43883104688913,0.0066039229649785,1.335536632058536,0.4999952454705904,50.0,-50.0,12.0,0.1076267009886004,10.015293198998624,0.0500445391786453,4.50006631221396,0.5029508652499747,4.5259202476278135,0.0430378853950311,1.3893146335759174,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.2,5.0,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251024_014136,6230,0.0007368675713356,0.296322709306978,17.406303305446727,0.6714422418286662,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4998740446092767,2.499999939575176,1.0,-60.0,-31.96324484760612,130.7823804346478,396399.6564494289,14861.45085339428,64.03693496975487,0.0073248322186646,1.333171338865428,2.49999728571365,50.0,-50.0,12.0,0.03143416778449,5.287547892499736,0.0500445356762513,4.500066312264371,0.4983907869673016,4.591717864887671,0.0338045208344241,0.2329554367687016,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.2,5.0,0.1,2.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251024_044608,5518,0.0007171747111251,0.2944491266727265,19.58014210906216,0.670041442344277,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4987334557192279,2.49994079180136,1.0,-60.0,-21.00002314596337,146.08329132074968,292496.16788356466,13880.116885280677,62.049560430389874,0.1199407170680495,0.6100751894563252,0.4999508439144481,25.0,-50.0,12.0,0.0211740235631099,5.006965117322926,0.0500445284798799,4.500066312361349,0.495557798641293,4.697362361405092,0.0388425856497095,0.1000059197319448,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251024_072038,5499,0.0007430048908131,0.2942802783516435,17.035221626213048,0.6699146145506502,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4989072238284909,2.4999980942243614,1.0,-60.0,-29.116745815209683,149.886920024372,349913.71623208537,25499.134082321816,62.007762449102906,0.1199407164860399,1.3761820885121163,0.4999997079042171,50.0,-50.0,12.0,0.032009248855745,5.225496472642483,0.0500461995015229,4.500066312359398,0.4952251189454066,4.459410174373122,0.0353470266409035,0.1953027260307529,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251024_075721,7291,0.000676012513667,0.2944991023837711,19.579236695996563,0.6700789621331563,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4995491838340727,2.4999225330540664,1.0,-60.0,-21.000136188020704,101.83349699320732,442750.4566808949,6680.163531494837,78.91721184710592,0.1199418490338484,0.6100671192220991,0.4999172644718349,50.0,-50.0,12.0,0.1559645257592777,22.49998336237213,0.0500451603961965,4.500066311271616,0.4954141942338858,4.400055552395778,0.0476881677561906,1.5190287574018346,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,6.0,150.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0699999999999999,0.12,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
